ADR2640 - IA 27 NB @ MM 0.65,7114
ADR2640 - IA 27 SB @ MM 0.65,7114
IWZ3554 - I-35 NB @ MM 111.4 (IL,10835
IWZ3554 - I-35 SB @ MM 111.4 (IL,10835
IWZ3085 - I-35 NB @ MM 112 (IL),11495
IWZ3085 - I-35 SB @ MM 112 (IL),11495
IWZ3556 - I-35 NB @ IA-MO border,13477
IWZ3556 - I-35 SB @ IA-MO border,13477
ADR2600 - US 71 NB @ MM 0.65,14027
ADR2600 - US 71 SB @ MM 0.65,14027
IWZ3555 - I-35 SB @ south of US,15460
IWZ3555 - I-35 NB @ south of US,15460
IWZ3527 - I-35 SB @ Decatur Rest,18765
IWZ3527 - I-35 NB @ Decatur Rest,18765
ADR2620 - US 63 NB @ MM 8.70,22860
ADR2620 - US 63 SB @ MM 8.70,22860
ADR2800 - IA 2 EB @ MM 117.30,24043
ADR2800 - IA 2 WB @ MM 117.30,24043
ADR2660 - IA 2 EB @ MM 190.65,24179
ADR2660 - IA 2 WB @ MM 190.65,24179
ADR1060 - I-35 NB @ MM 13.40,24706
ADR1060 - I-35 SB @ MM 13.40,24706
ADR2400 - IA 2 EB @ MM 18.25,25193
ADR2400 - IA 2 WB @ MM 18.25,25193
IWZ 3066 EB,29592
ADR8160 - US 34 EB @ MM 260.35,29595
ADR8160 - US 34 WB @ MM 260.35,29595
IWZ 3507 EB,29596
IWZ 3507 WB,29596
IWZ 3507 WB On Ramp,29596
IWZ 3087 WB,29599
IWZ 3087 EB,29599
IWZ 3087 EB Off Ramp,29599
IWZ 3516 WB,29600
IWZ 3516 EB,29600
IWZ 3516 EB Off Ramp,29600
IWZ 3516 WB On Ramp,29600
IWZ 3066 WB,30252
ADR2140 - US 61 NB @ MM 45.25,32894
ADR2140 - US 61 SB @ MM 45.25,32894
ADR1020 - I-29 NB @ MM 28.55,37710
ADR1020 - I-29 SB @ MM 28.55,37710
ADR5010 - IA 5 NB @ MM 30.20,39328
ADR5010 - IA 5 SB @ MM 30.20,39328
ADR2770 - US 34 EB @ MM 200.65,41369
ADR2770 - US 34 WB @ MM 200.65,41369
ADR2730 - US 34 EB @ MM 151.05,41938
ADR2730 - US 34 WB @ MM 151.05,41938
ADR2160 - US 34 EB @ MM 95.95,43156
ADR2160 - US 34 WB @ MM 95.95,43156
ADR2190 - IA 122 EB @ MM 113.25,43189
ADR2190 - IA 122 WB @ MM 113.25,43189
ADR2670 - US 34 EB @ MM 22.85,43683
ADR2670 - US 34 WB @ MM 22.85,43683
ADR2860 - US 34 EB @ MM 2.00,44305
ADR2860 - US 34 WB @ MM 2.00,44305
